observations,WM-hypointensities
459,-1.081540554825791
995,0.37724662709768214
432,-0.7846230247080033
288,-1.115810463072694
23,-0.13495377511310283
1073,0.7873221426946078
579,-0.4524695239007215
516,-0.6018370939462017
248,0.6528833514802627
752,0.9422415734710579
380,-1.150716068541259
382,-1.1900618982342959
1033,0.011887603155378314
68,-0.8535119907855194
554,-0.04101034663053801
250,0.28997973353598916
92,0.01727514829796902
236,1.2747511802565414
239,-0.3617228799191187
747,-0.8082668985598839
240,-0.12869836725309522
238,-0.13449429790947723
83,-0.47999313390832715
845,-1.0812048787456476
85,-0.7895032968574401
560,-0.4904427077781023
464,-0.6224926174626578
210,-0.7715455417900533
623,-0.5321315421957251
999,-0.3683856124385454
207,0.9109372209720382
624,-0.19707537609230147
34,0.32258323985234433
448,0.10084685251047867
602,-0.8078297789642345
642,-0.4332881632417522
746,-0.13787136690368434
617,-0.6874846941907888
1067,-0.43991555105528374
505,-0.45255011841619575
674,2.0376241820140577
304,-0.5485548069864041
604,1.715526569033696
82,-0.06110231679279559
1077,-0.6594487436579611
101,-0.5894115777437745
306,-1.667385481070649
135,-0.8005824626492454
817,0.022492945233403398
592,-0.5956526001274967
431,-0.058888945201833534
289,-0.6260293393711015
453,-0.8882830935117025
8,-1.5049092693431751
822,0.5999502425235846
10,-0.5616261011288322
875,-0.31626431468504385
508,-0.9541301333632547
1018,1.5314613576016154
402,-0.861817285992673
686,0.5616282589165815
291,0.3464527805113145
1032,0.10845398065858156
322,-0.8078009810400237
776,-0.6687415578337029
154,0.3119656211369741
681,0.9209400495108747
1050,0.617174047714129
211,0.6905357153063169
67,-0.6336869278948942
89,-0.5215743081084749
519,-0.6693595204232016
117,0.026520608353265685
481,-0.7292795441078923
507,0.9283514394538112
814,1.6583796436227813
529,-0.3806299472292042
584,-0.6279990466648532
831,-0.2657172942541776
680,0.4230695570887533
381,-0.2413048456751276
386,0.49375689786745625
522,0.6553230602077346
20,-0.5220716486207078
177,0.5814177026689922
159,-0.7728685791470822
677,-0.8837885063601284
495,0.29235971513303377
325,-0.22592554727542355
988,0.1955815064786151
