observations,WM-hypointensities
696,-0.6274578065542501
698,-0.05962636570923403
699,-0.10558008838094284
700,-0.6261841502390212
701,0.3575414407955457
702,-0.2992508877537776
703,-0.5936979630277365
704,-0.04155005154142748
707,-0.4880420153928374
708,-0.7693937785985616
709,-0.5600519681094084
710,0.05233960425528071
712,-0.5661630317025127
713,0.716781358006782
714,-0.2656991599359273
715,3.118645623655334
716,3.1029479526288974
718,0.26557343683922663
719,-0.8135651757569403
720,0.17032501125530208
721,-0.8638242074819142
722,-0.8379441249970498
723,0.11235683126625583
725,-0.32459953714682127
726,-0.29442645872270945
727,-0.49327974479945547
728,0.7745757692819825
729,0.8002070078134327
730,-0.29052691244772744
731,-0.11810781726728983
732,1.5218493276766782
733,-0.3714654271788124
734,-0.5376073205210251
735,-0.6126046510324933
737,-0.4766778227427458
740,-0.023360896572209522
741,0.23649353367307815
884,0.2872273859658584
885,-0.3724707263818557
886,-0.5055731435630996
889,-0.4818156855965161
890,-0.5966081793166197
891,-0.1485074201954959
892,0.3196921380960755
893,-0.43558358515438383
894,4.0760971318150085
895,0.04305422605721853
896,0.39351084302001527
898,0.004706389550650754
899,-0.509324902488792
900,1.7318858104870867
901,0.26349647251928277
902,-0.9534283625684387
905,0.06194711704015722
909,-0.6995800336972829
910,1.4874136715175628
911,3.327860464064639
912,0.4291956353247379
913,0.7217754249674405
914,1.5762575411994224
916,-0.551408634914331
917,0.3239166212118009
918,0.06169553547013324
919,-0.61522031746713
920,-0.8254532563044875
921,0.0015407196801651495
922,0.5474347978866534
923,0.1753713409510713
924,-0.468004713695818
925,-0.24029367701908563
926,0.0700697238076422
927,-0.4595746399382484
928,0.0735904662383741
929,0.19629020734696553
930,0.05622189395804826
932,-0.4032719821719976
933,-0.1627103226053362
934,-0.3153915235111128
935,-0.7462420921979003
936,-0.8837687768883161
937,0.18146969217995143
938,-0.8619530941352339
939,0.2682148791934669
940,-0.46699517042950434
941,-0.7464496116497501
942,-0.3059269526784857
944,-0.4433651983080663
945,-0.8477167593293463
946,0.24526804911731104
947,-0.7453669677007537
948,-1.538971566118811
949,-0.4975437469173078
950,2.221858086824068
952,-0.360485738662354
954,0.080846896903424
955,-0.993402577300844
956,0.013877760294864285
958,-1.4562096764097696
960,1.2251179323133847
961,1.3703154562567463
962,-0.9870112712164127
963,1.3128236846686272
966,1.5776333970507017
967,0.19040933855930625
968,-0.9832830093338296
970,-0.7040184407003562
971,-1.2726371627625912
972,-0.14091274295583675
974,-0.3496560255748526
975,0.328887637055245
977,0.36202187015536297
978,0.20238855857584523
979,-0.2708844783858286
980,-0.8194170227803014
981,-0.10587026866318075
982,-1.0417878190248915
984,-0.20795209086497277
985,0.6067319154477351
