observations,WM-hypointensities
459,-0.7252109721802881
995,-0.2432776972136308
432,-0.3912618255108551
288,-0.7360371651013767
23,-0.32703469629109305
1073,-0.4243680329483217
579,-1.2703414449675463
516,-0.26571525744044316
248,-0.3090423802852583
752,-2.248141581939178
380,-0.7447389906590145
382,-0.848674745179012
1033,-0.14109580931257773
68,-0.4733435160368125
554,-1.0926266941886487
250,-0.13692576258739286
92,-0.5299191568737235
236,-0.908195725378685
239,-0.20475005656591092
747,-2.342557035947313
240,-0.09279418372202566
238,-0.10010126954436865
83,-0.9531264092064964
845,-0.8600858164449302
85,-0.4507861998492075
560,-1.0654889980569442
464,-0.2897602100946383
210,-0.3928543357950253
623,-1.7107142664287012
999,-0.2864739527117934
207,-0.5280860430684498
624,-0.23040116601022473
34,-1.908543912309562
448,-0.08584868991322166
602,-1.658298473344608
642,-0.9993694051092803
746,-1.5360835963024047
617,-0.34043121630430556
1067,-0.2107860308334485
505,-0.24117325073685683
674,-2.212895844098357
304,-0.24630117429958154
604,-2.428238918201187
82,-0.21918060449236396
1077,-0.3152017997200802
101,-0.28530314984496125
306,-1.566805656838286
135,-0.45962699561805653
817,-0.30518008615767583
592,-1.464912406851796
431,-0.14030735504756173
289,-0.3088905388044722
453,-0.4757646956778122
8,-1.3497563457267185
822,-0.26945872575151636
10,-0.5205279196205447
875,-0.16855607138444414
508,-0.541177697919855
1018,-1.7922478769645496
402,-0.4675835763746257
686,-0.2867353461463124
291,-0.23361996275396307
1032,-0.3178221100302656
322,-0.4075241249621582
776,-0.3131579923345901
154,-0.1502004756572515
681,-0.6243203359266077
1050,-0.3048689063045583
211,-0.3513722782816361
67,-0.33439704404248677
89,-0.2623294797718405
519,-0.39861236026718755
117,-0.11337894673457377
481,-0.40499451959978244
507,-0.5260589154912403
814,-1.4662271937604487
529,-0.24672259130516724
584,-0.3505952889689296
831,-0.12651504338344416
680,-0.21349203175058024
381,-0.20267997306375443
386,-0.23458215399551455
522,-0.30964482642649593
20,-0.3341327570924103
177,-0.2640342971699933
159,-0.394673759753856
677,-0.5315678563402908
495,-0.21630099651512694
325,-0.333190145207875
988,-0.3617355806253422
203,-0.0864689632638197
1004,-0.34233744993211673
610,-15.530703395055326
241,-0.28989950641849505
61,-0.38320147107176844
475,-0.14793060008834705
883,-0.24069277511058665
188,-0.9247803339395855
90,-0.6912168778152302
138,-0.10761252990139042
206,-0.1795366668845724
196,-0.41117640506390346
784,-0.43016719202136733
644,-1.9434239728131528
812,-0.7634415363378401
796,-0.5489744259512763
842,-8.660990012955516
234,-0.6407898722677451
630,-1.0079760290070803
774,-0.5674932671165701
772,-0.20131262638487366
823,-0.8195420764888578
179,-0.9395492412483442
3,-0.306593883748603
389,-0.5721413354031819
281,-0.8119072375390387
551,-1.1253585852591033
317,-0.1330165377596244
414,-0.1792325299796991
543,-0.32900727199378477
454,-0.11119947505095218
1035,-0.12206659699580368
581,-2.554908392457146
130,-1.1565802299619727
532,-0.13619270268152586
879,-0.521769535227433
613,-0.9393509169237764
38,-0.17558614431854597
226,-2.993640195516607
200,-0.39110668930779624
791,-11.635599545939423
347,-4.324452449445135
743,-1.5342404054567667
1031,-1.2900736126122794
307,-1.1269159353031781
358,-0.1724732578189361
152,-0.24376578920134118
137,-1.9570615789943189
428,-0.2685297216438147
411,-0.11624146429153683
506,-0.1649713301907229
578,-0.5599550683028202
655,-2.9541131400216716
452,-0.13688107954121562
218,-0.9848146134226378
312,-0.0854389612892454
333,-0.19351224092395536
1065,-0.14086527299096516
180,-0.3901868054346756
373,-0.29180897145015655
169,-0.14202268141646074
1052,-0.2788375492641319
359,-0.37834335959281234
753,-1.9615205135461335
272,-0.6718140096186164
115,-0.2538829745724672
352,-0.11623822776753388
567,-0.8665724225994709
1047,-0.9852011050026744
662,-0.31288096987865255
245,-0.1696719042140727
770,-1.2815861878498613
480,-0.10166902808598534
96,-0.31034738709599263
99,-0.5335129721066156
670,-0.21907451924032426
871,-0.8324176515808437
21,-0.3882253491485464
330,-0.18560549130880025
996,-0.14620024078305943
69,-0.18434052051029975
444,-0.16154515851505927
443,-0.6360989167096521
126,-0.1983386638199388
107,-0.7370701511923832
540,-0.14301091973655533
300,-0.24664931564905915
760,-0.21133437393055798
790,-0.9094627697661238
395,-0.2418385622624402
28,-2.986898982463775
687,-0.2373405264402201
257,-0.32808058359453895
420,-0.12320873992415937
95,-0.39413466128906205
577,-1.0989028343936271
111,-2.614497187687009
303,-1.5328962488790263
1021,-2.314215148353952
572,-0.6501889166792774
616,-0.6198661355241359
512,-0.5911770524068019
850,-1.0062053968147653
7,-1.3550827634950733
229,-0.6984405925956031
573,-1.5370323406435227
832,-0.8363159445948357
429,-0.17121980407772047
301,-1.511441915676991
114,-0.6170744604079594
755,-1.6310165975754525
258,-0.24889379086767868
400,-0.11781081395464495
134,-0.7788219118991262
668,-0.7919137175497667
1059,-1.8740173439814416
859,-1.1414552383564869
237,-0.8809883458663201
503,-0.23322638059240883
285,-0.11469151061302231
1019,-0.7971850434501735
523,-0.2907571091007135
408,-0.09135895457664751
600,-0.9487889370097478
417,-0.16402827337052228
55,-1.8116575973207574
667,-1.0076221599060224
123,-0.518490528599781
631,-1.6374068943034772
775,-0.9495328123255284
1048,-0.29509072477666765
1027,-1.1689423833551578
596,-2.1739504361755535
568,-1.7288476939575521
818,-0.7597249239559644
586,-1.042952379993167
256,-1.8842719259797323
992,-0.38289668232024754
406,-0.9393823624684197
290,-0.1644155844658976
393,-0.49826387577331277
244,-0.37782511393292667
987,-0.2957983073714762
13,-0.65654235253957
881,-0.6475485443688427
547,-0.4720485494631076
1070,-0.3194996926184166
19,-0.6524757031444793
263,-0.2133698293376414
466,-0.21599708514985813
266,-0.26396856738881685
157,-0.1430008403151273
863,-0.3587993710133018
387,-0.08209623454325164
542,-0.2983502207487203
1016,-1.0141388280115793
162,-0.1681015994121224
222,-0.35868169731345234
811,-0.29557192311316444
357,-0.32027899621093553
323,-1.7443614562884902
163,-0.20381233202736834
427,-0.13515681769854668
217,-0.3626364716115053
223,-0.13479594263177544
91,-0.3114237870523223
30,-0.3864851904373517
182,-0.2232952846785053
675,-0.20255869346289482
298,-0.11161446362267839
15,-15.593284306567769
27,-0.20284628898383728
363,-0.24287562990726214
231,-0.17791757122657093
335,-0.18840610009675413
520,-0.37700605627386435
273,-0.8528605560123051
367,-0.6012285028424617
184,-0.1464179790249313
664,-1.1736815256843247
1037,-1.1542209695994656
255,-0.2973447640606482
778,-0.5842995799094933
815,-0.8548518286132017
824,-0.17528446800875913
1051,-0.3384146002230598
224,-0.1618563827355146
5,-0.9229588489092793
1014,-0.22607321828883384
565,-0.21864093035185225
461,-0.4456747362104304
763,-0.5577972542324746
1038,-0.14763709271972766
880,-0.22843263130832708
49,-0.11631426591202944
750,-1.83292709165949
490,-0.12090769403478566
509,-0.2428234662964666
544,-0.18552987057518852
58,-1.1722742865262632
355,-0.1104814108416706
1020,-1.3989773862406703
629,-1.3870546920357956
362,-0.16720976254338216
786,-1.6250094081573636
862,-0.6699013170292544
757,-0.3113954087330174
356,-0.28407501518603906
399,-0.28613143203970487
484,-0.5197660260685495
145,-0.31712028557495625
175,-0.13868766329136023
295,-0.14313820659128101
404,-0.08552414662365598
785,-1.909421163153679
827,-0.1462579231672756
605,-1.5428319259709184
658,-0.6434347811338442
672,-0.17678760503743243
458,-0.918485335627593
806,-1.3398629559774453
619,-2.515306433288578
486,-0.09578981424085163
72,-0.3273211522800881
233,-0.6800161684733708
48,-0.4510251848016365
271,-0.7595755881627043
434,-0.08078239733611033
305,-0.10316369985331456
140,-0.12409148368613301
861,-0.1499665226592699
262,-0.46949636614618384
647,-0.7466282030412859
144,-0.1563974842014551
874,-0.978252573852922
267,-0.22117178900195772
151,-0.47645431201335464
869,-0.3220465827408297
191,-0.6865345958040583
868,-0.4659331899803099
566,-1.1702005667632962
997,-0.7149089153167933
759,-0.977353052069554
439,-0.22948445707671772
657,-1.4125962466701378
445,-0.4302059799250798
418,-0.1250882878383751
633,-1.5643548971935852
497,-0.18692265220162554
793,-0.8859289699396873
53,-0.1370433908583673
44,-4.459155085598303
843,-0.12214655701340818
195,-0.24726812238293436
482,-0.2444465228336916
160,-0.1799709928112854
194,-0.3074986826150442
116,-0.12413115776001064
284,-0.10835731225571685
1076,-0.5080676419897081
837,-0.9732163639366812
294,-0.11065315735746413
171,-0.09988748005635847
