observations,WM-hypointensities
125,-2.0676420246230935
126,-0.1983386638199388
127,-0.43738750249607544
128,-0.2568081515198368
13,-0.65654235253957
130,-1.1565802299619727
131,-0.860835521727483
132,-0.2799224807100346
134,-0.7788219118991262
135,-0.45962699561805653
136,-0.9083834115478132
137,-1.9570615789943189
138,-0.10761252990139042
139,-0.3182361898388785
140,-0.12409148368613301
141,-0.2587225457054641
144,-0.1563974842014551
145,-0.31712028557495625
146,-0.8428869110720794
148,-0.09291072382312263
149,-0.3701151279623165
15,-15.593284306567769
151,-0.47645431201335464
152,-0.24376578920134118
153,-1.5151151148770434
154,-0.1502004756572515
155,-0.18803783028698154
156,-0.5828607285287166
157,-0.1430008403151273
158,-0.15757330973312422
159,-0.394673759753856
16,-0.913562374357711
160,-0.1799709928112854
161,-0.6103333830433659
162,-0.1681015994121224
163,-0.20381233202736834
164,-0.39985000023064543
165,-0.09570655920321598
166,-0.11081921410564048
167,-1.8136680887115935
168,-0.5123507830617481
169,-0.14202268141646074
17,-0.1353265244414652
170,-0.32798028265338225
171,-0.09988748005635847
172,-3.3182382375100925
173,-0.13202960163707125
174,-0.2254200070730398
175,-0.13868766329136023
176,-0.24646626100341765
177,-0.2640342971699933
179,-0.9395492412483442
18,-0.14518185990166796
180,-0.3901868054346756
182,-0.2232952846785053
184,-0.1464179790249313
187,-0.7395609191543393
188,-0.9247803339395855
189,-0.09244047903682119
19,-0.6524757031444793
190,-0.7669712056402919
191,-0.6865345958040583
192,-0.13213536846250498
193,-0.09348788330368699
194,-0.3074986826150442
195,-0.24726812238293436
196,-0.41117640506390346
197,-0.11866295975366342
199,-0.32827320550509925
2,-0.38550072072550545
20,-0.3341327570924103
200,-0.39110668930779624
202,-0.9108154029765417
203,-0.0864689632638197
206,-0.1795366668845724
207,-0.5280860430684498
208,-0.14201632673555797
21,-0.3882253491485464
210,-0.3928543357950253
211,-0.3513722782816361
213,-0.8712560762825841
214,-0.25702973782851407
215,-0.13973226060192873
216,-2.416478592671238
217,-0.3626364716115053
218,-0.9848146134226378
221,-0.3557113780609386
222,-0.35868169731345234
223,-0.13479594263177544
224,-0.1618563827355146
226,-2.993640195516607
227,-1.7178171431827274
228,-0.5860353805954003
229,-0.6984405925956031
23,-0.32703469629109305
230,-3.2969034418414394
231,-0.17791757122657093
232,-0.5331610376643534
233,-0.6800161684733708
234,-0.6407898722677451
235,-0.16283988434052257
236,-0.908195725378685
237,-0.8809883458663201
238,-0.10010126954436865
239,-0.20475005656591092
24,-2.0540060224609227
240,-0.09279418372202566
241,-0.28989950641849505
243,-0.09568402158048007
244,-0.37782511393292667
245,-0.1696719042140727
246,-0.5917242494294812
248,-0.3090423802852583
249,-0.5867662420845704
25,-0.1678870538905665
250,-0.13692576258739286
251,-0.11267663850600758
252,-5.041287921494648
253,-0.15622172803686413
254,-2.1941051872543835
255,-0.2973447640606482
256,-1.8842719259797323
257,-0.32808058359453895
258,-0.24889379086767868
260,-0.2924661022102092
261,-1.8300613613382835
262,-0.46949636614618384
263,-0.2133698293376414
265,-0.21826339373506595
266,-0.26396856738881685
267,-0.22117178900195772
268,-0.23203504388952437
27,-0.20284628898383728
270,-1.1717082919626804
271,-0.7595755881627043
272,-0.6718140096186164
273,-0.8528605560123051
276,-0.5659719680101722
277,-0.13470751676582654
278,-0.40707386250810834
28,-2.986898982463775
280,-0.28284804687570725
281,-0.8119072375390387
283,-0.2064876648804029
284,-0.10835731225571685
285,-0.11469151061302231
286,-0.19437908939214282
287,-0.182337229708422
288,-0.7360371651013767
289,-0.3088905388044722
29,-0.28538111543975164
290,-0.1644155844658976
291,-0.23361996275396307
292,-0.11361729883688158
294,-0.11065315735746413
295,-0.14313820659128101
296,-0.34630325115925387
297,-0.19965324563825324
298,-0.11161446362267839
299,-0.5161740560200407
3,-0.306593883748603
30,-0.3864851904373517
300,-0.24664931564905915
301,-1.511441915676991
303,-1.5328962488790263
304,-0.24630117429958154
305,-0.10316369985331456
306,-1.566805656838286
307,-1.1269159353031781
309,-0.7018840132556619
31,-0.2926994307653162
310,-0.1174374695656012
312,-0.0854389612892454
315,-1.0903749487271521
316,-0.41500305081491
317,-0.1330165377596244
319,-0.09660609924402036
32,-1.978785587821875
322,-0.4075241249621582
323,-1.7443614562884902
325,-0.333190145207875
326,-0.5072628191684346
327,-0.2947608101408391
328,-0.25152499402420353
329,-0.21612648508105564
330,-0.18560549130880025
332,-0.2764282038224227
333,-0.19351224092395536
335,-0.18840610009675413
336,-0.6078245958300265
337,-0.1730371740882062
338,-0.328619456068264
34,-1.908543912309562
340,-0.5131905774000167
341,-0.424437967283526
342,-0.6100060081802786
344,-0.2632382477144151
345,-0.23089111884408073
347,-4.324452449445135
348,-0.6056217693033936
349,-0.13907757482986804
35,-1.8307973112707572
351,-0.14197498315183332
352,-0.11623822776753388
353,-0.16360253990466267
355,-0.1104814108416706
356,-0.28407501518603906
357,-0.32027899621093553
358,-0.1724732578189361
359,-0.37834335959281234
36,-2.698110121548293
360,-0.16958754924138716
362,-0.16720976254338216
363,-0.24287562990726214
365,-0.31618081925857144
366,-0.08589177100377325
367,-0.6012285028424617
368,-0.10319772596883037
369,-0.27205728871221635
37,-0.19986839631324815
370,-0.4086030180510305
371,-0.23551668517053223
372,-2.3613746492954584
373,-0.29180897145015655
374,-0.22523322438480461
376,-0.46246323984214266
377,-0.11322540547138238
379,-0.16536982050540142
38,-0.17558614431854597
380,-0.7447389906590145
381,-0.20267997306375443
382,-0.848674745179012
383,-0.6196002735728169
384,-0.1263025130415003
385,-0.09564217996561805
386,-0.23458215399551455
387,-0.08209623454325164
388,-0.8545904439239431
389,-0.5721413354031819
391,-0.29987524510037306
393,-0.49826387577331277
395,-0.2418385622624402
397,-0.8564577136150006
398,-1.1955775034348588
399,-0.28613143203970487
40,-2.5375214550840592
400,-0.11781081395464495
401,-0.08132284352257227
402,-0.4675835763746257
403,-0.24471709782869078
404,-0.08552414662365598
406,-0.9393823624684197
407,-0.38687967365285375
408,-0.09135895457664751
409,-0.11563271621900123
41,-0.45305139998271093
410,-0.12418825183110692
411,-0.11624146429153683
414,-0.1792325299796991
415,-0.17643802082221244
417,-0.16402827337052228
418,-0.1250882878383751
419,-2.686796048350501
42,-1.6241322943284597
420,-0.12320873992415937
421,-3.0819176473262577
422,-0.147514799284648
424,-0.7266477798685601
425,-0.15900998609298808
427,-0.13515681769854668
428,-0.2685297216438147
429,-0.17121980407772047
43,-0.6968673138239903
430,-2.2402071163922703
431,-0.14030735504756173
432,-0.3912618255108551
433,-0.12458939757757541
434,-0.08078239733611033
436,-0.15504606854263217
438,-0.08226645214843985
439,-0.22948445707671772
44,-4.459155085598303
440,-0.22259485754635797
442,-0.3573172163030714
443,-0.6360989167096521
444,-0.16154515851505927
445,-0.4302059799250798
447,-0.26252801803660414
448,-0.08584868991322166
45,-2.764535184212086
450,-1.3675443241347371
451,-1.180045193817926
452,-0.13688107954121562
453,-0.4757646956778122
454,-0.11119947505095218
455,-0.11407066775236814
456,-2.11049266293568
458,-0.918485335627593
459,-0.7252109721802881
46,-2.676664612521974
460,-0.411181091195141
461,-0.4456747362104304
463,-0.18983840421788323
464,-0.2897602100946383
466,-0.21599708514985813
467,-0.1262856375498013
469,-0.1993349002569582
470,-7.905605125124995
471,-0.12149252378756607
472,-0.2651911530499632
473,-0.10237351524364037
475,-0.14793060008834705
477,-0.1991389462251426
478,-0.12225327397991415
479,-0.5668608993075815
48,-0.4510251848016365
480,-0.10166902808598534
481,-0.40499451959978244
482,-0.2444465228336916
