observations,WM-hypointensities
884,0.10739499675349988
920,-0.7647118367113758
946,0.39186164016769515
975,0.48218598233483795
886,-0.7946210586864234
945,-1.034180431094971
715,3.1788857183083254
958,-1.3867301590034127
696,-0.39344289458512033
918,0.19356998453961274
725,-0.3177213884849755
930,0.24697062851653917
971,-1.188438503375325
699,-0.5567501393185508
731,-0.2467617031964849
708,-0.5355476874273798
894,4.106416238702462
740,-0.10980803221144395
726,-0.029294563800137945
919,-0.4783089088000977
963,1.604328789576079
941,-0.6793735516489986
702,-0.12111278676962742
905,-0.13038055143282345
921,0.1879050289677486
960,1.0973060966470378
737,-0.8045338616116201
929,0.011413943464912596
735,-0.40690695659839904
727,-0.6700309277957283
952,-0.2624624691195523
733,-0.2666212891479167
948,-1.535441202252246
899,-0.7333384502970263
709,-0.37291771194024653
700,-0.3818712406322693
893,-0.3435817827855865
703,-0.5474804397291535
889,-0.6479844770343809
954,-0.054113541795131545
984,-0.03838525501787543
938,-1.1055253354358094
955,-0.9461276067540892
980,-0.7581916081897543
732,1.8693406214468544
701,-0.17028332097033888
913,0.9065761505214377
961,1.6071171737413381
890,-0.7691439920337794
950,3.132049179005604
936,-1.0722320912744685
898,0.132011356438439
972,-0.34449213184582567
933,-0.048829099322954296
698,0.11024605100893427
914,1.8295720291848414
947,-0.9824727030145451
901,-0.05422169846068088
729,0.2837675079644072
718,0.1433834793290757
922,0.7182566091028937
981,-0.25118706541134334
720,0.12317643366681598
928,0.20641867015574605
956,-0.18111609833882175
896,0.5519907818015907
944,-0.29267416736104296
927,-0.6245098210032461
910,1.4304691404318928
741,-0.03683819412950481
721,-0.6385110587084639
932,-0.308679383052209
940,-0.688660879140998
728,0.8260613813622002
713,0.6099807636633884
714,-0.7052036203584185
912,0.5905368386499896
925,-0.1326332129684781
730,-0.02677857906244474
974,-0.25076441206605776
716,3.6198134069918586
968,-0.9351966354090145
734,-0.420874752865646
979,-0.4253538682229821
917,0.4768163823758566
966,1.5256929467517424
962,-0.9392238353782519
707,-0.22714683582946998
977,0.18633799324529673
935,-0.6198362220046673
911,3.780934487234426
710,-0.22303539316477192
949,-0.41051001084574146
895,0.17343398469343488
942,-0.5186589346574649
967,0.33260426919179775
885,-0.5888935910086804
934,-0.21375252663451044
719,-0.5899856779646478
909,-0.6287458948928971
891,-0.03348738515443724
985,0.7823082657564543
704,-0.41229753315920714
892,0.14166042208926724
902,-1.202074323950954
978,0.017850542699255498
712,-0.5854624531949184
937,0.05209034557153024
723,-0.4617998380899716
924,-0.6334074728860173
900,1.68850104503218
722,-0.6335037785691219
923,0.04565374633718743
939,0.08732795208172425
982,-1.2390157361408327
926,0.2619287998308426
916,-0.7214374330027661
970,-0.6335401805705567
